CustomerID,DaySinceLastOrder,OrderCount,Estimated_Spend,R_Score,F_Score,M_Score,RFM_Segment,Churn
50030,7.0,3.0,3134.67,2,3,4,At-Risk High-Value,0
50031,9.0,1.0,787.54,1,1,1,Lost / Low Value,0
50032,0.0,1.0,887.26,4,1,1,Potential Loyalists,0
50033,0.0,1.0,734.03,4,1,1,Potential Loyalists,0
50034,11.0,2.0,2294.05,1,2,3,Hibernating Big Spenders,0
50035,2.0,1.0,672.7,4,1,1,Potential Loyalists,0
50036,2.0,2.0,1355.53,4,2,2,Loyal Customers,0
50037,2.0,2.0,1322.64,4,2,2,Loyal Customers,0
50038,2.0,1.0,699.21,4,1,1,Potential Loyalists,0
50039,4.0,1.0,1069.14,2,1,2,Lost / Low Value,0
50040,1.0,1.0,691.13,4,1,1,Potential Loyalists,0
50041,4.0,4.0,6583.72,2,4,4,At-Risk High-Value,0
50042,8.0,1.0,684.8,1,1,1,Lost / Low Value,0
50043,4.0,7.0,7476.32,2,4,4,At-Risk High-Value,0
50044,1.0,1.0,1027.73,4,1,2,Potential Loyalists,0
50045,4.0,1.0,717.09,2,1,1,Lost / Low Value,0
50046,1.0,1.0,718.19,4,1,1,Potential Loyalists,0
50047,0.0,1.0,677.88,4,1,1,Potential Loyalists,1
50048,2.0,7.0,4653.88,4,4,4,Champions,0
50049,10.0,6.0,4313.76,1,4,4,At-Risk High-Value,0
50050,3.0,1.0,825.33,3,1,1,Potential Loyalists,0
50051,2.0,2.0,1568.27,4,2,2,Loyal Customers,0
50052,2.0,1.0,687.5,4,1,1,Potential Loyalists,0
50053,0.0,1.0,610.61,4,1,1,Potential Loyalists,1
50054,7.0,15.0,16873.72,2,4,4,At-Risk High-Value,0
50055,1.0,2.0,1351.68,4,2,2,Loyal Customers,0
50056,2.0,1.0,766.09,4,1,1,Potential Loyalists,0
50057,2.0,1.0,677.1,4,1,1,Potential Loyalists,0
50058,2.0,1.0,722.7,4,1,1,Potential Loyalists,1
50059,2.0,1.0,752.95,4,1,1,Potential Loyalists,0
50060,3.0,1.0,794.75,3,1,1,Potential Loyalists,0
50061,6.0,1.0,701.58,2,1,1,Lost / Low Value,0
50062,9.0,9.0,14371.34,1,4,4,At-Risk High-Value,0
50063,15.0,2.0,3159.42,1,2,4,Hibernating Big Spenders,0
50064,9.0,1.0,1075.08,1,1,2,Lost / Low Value,0
50065,0.0,2.0,2610.74,4,2,3,Loyal Customers,0
50066,9.0,11.0,18149.4,1,4,4,At-Risk High-Value,0
50067,3.0,1.0,675.34,3,1,1,Potential Loyalists,0
50068,1.0,1.0,875.38,4,1,1,Potential Loyalists,1
50069,2.0,2.0,1329.79,4,2,2,Loyal Customers,0
50070,8.0,11.0,16209.16,1,4,4,At-Risk High-Value,0
50071,7.0,1.0,746.02,2,1,1,Lost / Low Value,0
50072,2.0,1.0,793.38,4,1,1,Potential Loyalists,0
50073,2.0,1.0,839.58,4,1,1,Potential Loyalists,0
50074,0.0,1.0,910.42,4,1,1,Potential Loyalists,0
50075,7.0,1.0,894.36,2,1,1,Lost / Low Value,0
50076,0.0,2.0,1572.78,4,2,2,Loyal Customers,0
50077,7.0,1.0,924.22,2,1,1,Lost / Low Value,0
50078,0.0,2.0,1519.65,4,2,2,Loyal Customers,0
50079,7.0,3.0,2102.26,2,3,3,At-Risk High-Value,0
50080,0.0,1.0,917.02,4,1,1,Potential Loyalists,1
50081,9.0,1.0,970.14,1,1,2,Lost / Low Value,1
50082,2.0,2.0,1356.08,4,2,2,Loyal Customers,0
50083,7.0,1.0,668.42,2,1,1,Lost / Low Value,0
50084,2.0,1.0,818.18,4,1,1,Potential Loyalists,0
50085,3.0,1.0,1066.78,3,1,2,Potential Loyalists,0
50086,8.0,9.0,10098.0,1,4,4,At-Risk High-Value,1
50087,8.0,5.0,5080.35,1,4,4,At-Risk High-Value,0
50088,7.0,1.0,1098.96,2,1,2,Lost / Low Value,0
50089,3.0,4.0,4947.8,3,4,4,Champions,0
50090,4.0,1.0,696.14,2,1,1,Lost / Low Value,1
50091,0.0,2.0,2595.01,4,2,3,Loyal Customers,0
50092,1.0,1.0,918.28,4,1,1,Potential Loyalists,1
50093,5.0,1.0,663.19,2,1,1,Lost / Low Value,1
50094,8.0,12.0,12450.9,1,4,4,At-Risk High-Value,0
50095,5.0,1.0,876.7,2,1,1,Lost / Low Value,0
50096,7.0,3.0,2625.81,2,3,3,At-Risk High-Value,0
50097,1.0,1.0,694.21,4,1,1,Potential Loyalists,0
50098,3.0,1.0,1220.18,3,1,2,Potential Loyalists,0
50099,13.0,5.0,5667.48,1,4,4,At-Risk High-Value,0
50100,4.0,1.0,788.97,2,1,1,Lost / Low Value,0
50101,0.0,1.0,669.74,4,1,1,Potential Loyalists,0
50102,8.0,5.0,0.0,1,4,1,At-Risk High-Value,0
50103,1.0,4.0,3941.96,4,4,4,Champions,0
50104,8.0,1.0,1033.4,1,1,2,Lost / Low Value,0
50105,1.0,1.0,681.4,4,1,1,Potential Loyalists,1
50106,2.0,2.0,1453.32,4,2,2,Loyal Customers,0
50107,15.0,11.0,17685.36,1,4,4,At-Risk High-Value,0
50108,2.0,2.0,1349.37,4,2,2,Loyal Customers,0
50109,6.0,1.0,1623.44,2,1,2,Lost / Low Value,0
50110,4.0,1.0,683.98,2,1,1,Lost / Low Value,1
50111,9.0,2.0,2867.04,1,2,3,Hibernating Big Spenders,0
50112,7.0,1.0,698.88,2,1,1,Lost / Low Value,1
50113,12.0,15.0,23981.1,1,4,4,At-Risk High-Value,0
50114,2.0,1.0,766.2,4,1,1,Potential Loyalists,0
50115,2.0,1.0,755.15,4,1,1,Potential Loyalists,1
50116,2.0,1.0,672.76,4,1,1,Potential Loyalists,0
50117,2.0,2.0,1591.15,4,2,2,Loyal Customers,0
50118,0.0,1.0,718.96,4,1,1,Potential Loyalists,0
50119,7.0,4.0,2930.18,2,4,3,At-Risk High-Value,0
50120,7.0,1.0,1606.11,2,1,2,Lost / Low Value,0
50121,2.0,2.0,2604.25,4,2,3,Loyal Customers,0
50122,2.0,1.0,710.1,4,1,1,Potential Loyalists,0
50123,9.0,5.0,4388.18,1,4,4,At-Risk High-Value,0
50124,2.0,1.0,765.6,4,1,1,Potential Loyalists,0
50125,2.0,1.0,903.87,4,1,1,Potential Loyalists,0
50126,0.0,1.0,1102.64,4,1,2,Potential Loyalists,1
50127,3.0,11.0,12667.49,3,4,4,Champions,0
50128,5.0,1.0,678.7,2,1,1,Lost / Low Value,0
50129,2.0,1.0,909.97,4,1,1,Potential Loyalists,0
50130,2.0,1.0,931.2,4,1,1,Potential Loyalists,0
50131,2.0,1.0,819.39,4,1,1,Potential Loyalists,0
50132,8.0,7.0,4848.3,1,4,4,At-Risk High-Value,0
50133,9.0,3.0,4856.94,1,3,4,At-Risk High-Value,0
50134,0.0,1.0,699.76,4,1,1,Potential Loyalists,0
50135,4.0,1.0,741.34,2,1,1,Lost / Low Value,1
50136,3.0,1.0,703.67,3,1,1,Potential Loyalists,0
50137,5.0,7.0,5870.87,2,4,4,At-Risk High-Value,0
50138,4.0,1.0,669.68,2,1,1,Lost / Low Value,0
50139,7.0,7.0,10345.72,2,4,4,At-Risk High-Value,0
50140,0.0,1.0,741.68,4,1,1,Potential Loyalists,1
50141,0.0,1.0,915.42,4,1,1,Potential Loyalists,0
50142,8.0,7.0,5999.07,1,4,4,At-Risk High-Value,0
50143,5.0,1.0,770.0,2,1,1,Lost / Low Value,0
50144,10.0,2.0,2584.56,1,2,3,Hibernating Big Spenders,0
50145,11.0,10.0,7265.5,1,4,4,At-Risk High-Value,0
50146,13.0,4.0,6389.9,1,4,4,At-Risk High-Value,0
50147,3.0,9.0,10815.26,3,4,4,Champions,1
50148,4.0,1.0,663.85,2,1,1,Lost / Low Value,0
50149,1.0,1.0,907.61,4,1,1,Potential Loyalists,0
50150,0.0,1.0,727.65,4,1,1,Potential Loyalists,0
50151,2.0,2.0,2596.33,4,2,3,Loyal Customers,0
50152,3.0,6.0,7258.68,3,4,4,Champions,0
50153,7.0,7.0,6007.93,2,4,4,At-Risk High-Value,0
50154,4.0,1.0,901.84,2,1,1,Lost / Low Value,0
50155,6.0,1.0,1602.92,2,1,2,Lost / Low Value,0
50156,3.0,1.0,1517.12,3,1,2,Potential Loyalists,0
50157,6.0,11.0,9018.74,2,4,4,At-Risk High-Value,0
50158,9.0,1.0,800.47,1,1,1,Lost / Low Value,0
50159,8.0,1.0,847.82,1,1,1,Lost / Low Value,0
50160,3.0,3.0,2432.26,3,3,3,Champions,0
50161,7.0,5.0,3331.62,2,4,4,At-Risk High-Value,0
50162,0.0,1.0,723.86,4,1,1,Potential Loyalists,1
50163,2.0,1.0,865.97,4,1,1,Potential Loyalists,0
50164,2.0,1.0,680.52,4,1,1,Potential Loyalists,1
50165,2.0,1.0,732.05,4,1,1,Potential Loyalists,0
50166,2.0,1.0,1576.57,4,1,2,Potential Loyalists,0
50167,7.0,7.0,5576.72,2,4,4,At-Risk High-Value,0
50168,2.0,2.0,1406.79,4,2,2,Loyal Customers,0
50169,4.0,7.0,6093.78,2,4,4,At-Risk High-Value,1
50170,2.0,1.0,677.93,4,1,1,Potential Loyalists,0
50171,8.0,2.0,2587.75,1,2,3,Hibernating Big Spenders,0
50172,0.0,1.0,628.1,4,1,1,Potential Loyalists,1
50173,9.0,6.0,5946.6,1,4,4,At-Risk High-Value,0
50174,0.0,1.0,752.84,4,1,1,Potential Loyalists,0
50175,2.0,1.0,851.51,4,1,1,Potential Loyalists,0
50176,4.0,2.0,2861.65,2,2,3,Hibernating Big Spenders,0
50177,0.0,1.0,616.0,4,1,1,Potential Loyalists,0
50178,7.0,1.0,861.36,2,1,1,Lost / Low Value,0
50179,7.0,7.0,6517.66,2,4,4,At-Risk High-Value,0
50180,7.0,3.0,3236.14,2,3,4,At-Risk High-Value,0
50181,8.0,1.0,862.07,1,1,1,Lost / Low Value,0
50182,8.0,4.0,3406.48,1,4,4,At-Risk High-Value,0
50183,3.0,1.0,1213.36,3,1,2,Potential Loyalists,0
50184,2.0,1.0,861.3,4,1,1,Potential Loyalists,0
50185,3.0,1.0,815.16,3,1,1,Potential Loyalists,0
50186,0.0,1.0,902.55,4,1,1,Potential Loyalists,0
50187,11.0,9.0,7528.95,1,4,4,At-Risk High-Value,0
50188,2.0,2.0,1396.45,4,2,2,Loyal Customers,0
50189,3.0,8.0,9626.32,3,4,4,Champions,0
50190,10.0,11.0,16376.14,1,4,4,At-Risk High-Value,0
50191,7.0,1.0,685.02,2,1,1,Lost / Low Value,0
50192,7.0,2.0,2636.04,2,2,3,Hibernating Big Spenders,0
50193,7.0,7.0,5752.28,2,4,4,At-Risk High-Value,1
50194,2.0,1.0,686.29,4,1,1,Potential Loyalists,0
50195,9.0,11.0,9212.94,1,4,4,At-Risk High-Value,0
50196,4.0,1.0,796.29,2,1,1,Lost / Low Value,0
50197,7.0,1.0,965.08,2,1,2,Lost / Low Value,0
50198,7.0,1.0,828.03,2,1,1,Lost / Low Value,0
50199,2.0,2.0,1481.04,4,2,2,Loyal Customers,1
50200,9.0,1.0,867.62,1,1,1,Lost / Low Value,0
50201,9.0,8.0,8334.92,1,4,4,At-Risk High-Value,0
50202,3.0,13.0,20929.48,3,4,4,Champions,0
50203,0.0,1.0,838.09,4,1,1,Potential Loyalists,1
50204,1.0,1.0,807.51,4,1,1,Potential Loyalists,0
50205,1.0,1.0,1556.5,4,1,2,Potential Loyalists,0
50206,0.0,1.0,839.14,4,1,1,Potential Loyalists,0
50207,4.0,1.0,899.2,2,1,1,Lost / Low Value,0
50208,3.0,1.0,817.8,3,1,1,Potential Loyalists,0
50209,0.0,1.0,1099.18,4,1,2,Potential Loyalists,0
50210,8.0,9.0,6780.02,1,4,4,At-Risk High-Value,0
50211,2.0,1.0,960.14,4,1,2,Potential Loyalists,0
50212,7.0,1.0,666.54,2,1,1,Lost / Low Value,1
50213,2.0,2.0,1538.13,4,2,2,Loyal Customers,0
50214,2.0,1.0,886.49,4,1,1,Potential Loyalists,0
50215,7.0,1.0,891.77,2,1,1,Lost / Low Value,0
50216,4.0,1.0,899.08,2,1,1,Lost / Low Value,0
50217,3.0,2.0,2366.1,3,2,3,Loyal Customers,0
50218,10.0,4.0,3771.46,1,4,4,At-Risk High-Value,0
50219,7.0,1.0,1004.74,2,1,2,Lost / Low Value,0
50220,13.0,1.0,995.22,1,1,2,Lost / Low Value,0
50221,2.0,1.0,709.72,4,1,1,Potential Loyalists,0
50222,2.0,1.0,881.76,4,1,1,Potential Loyalists,0
50223,0.0,1.0,713.68,4,1,1,Potential Loyalists,0
50224,0.0,2.0,2859.12,4,2,3,Loyal Customers,0
50225,2.0,1.0,805.7,4,1,1,Potential Loyalists,0
50226,0.0,1.0,698.28,4,1,1,Potential Loyalists,0
50227,7.0,1.0,680.35,2,1,1,Lost / Low Value,0
50228,3.0,1.0,1237.72,3,1,2,Potential Loyalists,0
50229,7.0,6.0,5271.42,2,4,4,At-Risk High-Value,0
50230,2.0,2.0,1620.96,4,2,2,Loyal Customers,0
50231,7.0,7.0,5888.96,2,4,4,At-Risk High-Value,0
50232,0.0,1.0,922.96,4,1,1,Potential Loyalists,0
50233,2.0,1.0,669.57,4,1,1,Potential Loyalists,1
50234,0.0,1.0,915.92,4,1,1,Potential Loyalists,0
50235,12.0,1.0,1083.45,1,1,2,Lost / Low Value,0
50236,2.0,1.0,921.53,4,1,1,Potential Loyalists,0
50237,7.0,1.0,671.71,2,1,1,Lost / Low Value,0
50238,2.0,2.0,1387.1,4,2,2,Loyal Customers,0
50239,0.0,1.0,706.8,4,1,1,Potential Loyalists,1
50240,3.0,1.0,739.86,3,1,1,Potential Loyalists,0
50241,0.0,1.0,839.19,4,1,1,Potential Loyalists,0
50242,7.0,7.0,7451.68,2,4,4,At-Risk High-Value,1
50243,3.0,1.0,1127.28,3,1,2,Potential Loyalists,0
50244,0.0,1.0,900.9,4,1,1,Potential Loyalists,1
50245,2.0,2.0,1392.27,4,2,2,Loyal Customers,0
50246,0.0,1.0,699.38,4,1,1,Potential Loyalists,1
50247,2.0,1.0,671.06,4,1,1,Potential Loyalists,0
50248,0.0,1.0,909.7,4,1,1,Potential Loyalists,0
50249,4.0,1.0,759.88,2,1,1,Lost / Low Value,0
50250,7.0,1.0,838.92,2,1,1,Lost / Low Value,0
50251,0.0,1.0,797.5,4,1,1,Potential Loyalists,0
50252,7.0,1.0,821.48,2,1,1,Lost / Low Value,0
50253,2.0,2.0,1379.73,4,2,2,Loyal Customers,0
50254,4.0,1.0,841.72,2,1,1,Lost / Low Value,1
50255,2.0,1.0,1466.24,4,1,2,Potential Loyalists,0
50256,3.0,1.0,784.3,3,1,1,Potential Loyalists,0
50257,0.0,1.0,686.18,4,1,1,Potential Loyalists,0
50258,4.0,1.0,720.61,2,1,1,Lost / Low Value,1
50259,2.0,1.0,673.42,4,1,1,Potential Loyalists,0
50260,0.0,9.0,8710.02,4,4,4,Champions,0
50261,0.0,1.0,675.68,4,1,1,Potential Loyalists,1
50262,17.0,12.0,8602.44,1,4,4,At-Risk High-Value,0
50263,3.0,1.0,864.32,3,1,1,Potential Loyalists,0
50264,2.0,1.0,691.68,4,1,1,Potential Loyalists,0
50265,1.0,1.0,780.84,4,1,1,Potential Loyalists,0
50266,9.0,2.0,2676.96,1,2,3,Hibernating Big Spenders,0
50267,0.0,1.0,739.64,4,1,1,Potential Loyalists,0
50268,2.0,1.0,1617.33,4,1,2,Potential Loyalists,0
50269,2.0,1.0,909.59,4,1,1,Potential Loyalists,0
50270,12.0,3.0,2360.49,1,3,3,At-Risk High-Value,0
50271,2.0,1.0,674.19,4,1,1,Potential Loyalists,0
50272,2.0,1.0,798.71,4,1,1,Potential Loyalists,0
50273,3.0,1.0,796.79,3,1,1,Potential Loyalists,0
50274,7.0,10.0,7946.95,2,4,4,At-Risk High-Value,0
50275,2.0,3.0,2015.97,4,3,3,Champions,0
50276,6.0,1.0,1605.84,2,1,2,Lost / Low Value,0
50277,7.0,2.0,2553.32,2,2,3,Hibernating Big Spenders,0
50278,4.0,4.0,3646.94,2,4,4,At-Risk High-Value,0
50279,7.0,1.0,1011.56,2,1,2,Lost / Low Value,0
50280,8.0,1.0,800.69,1,1,1,Lost / Low Value,0
50281,2.0,1.0,771.7,4,1,1,Potential Loyalists,1
50282,4.0,1.0,988.3,2,1,2,Lost / Low Value,0
50283,2.0,1.0,695.97,4,1,1,Potential Loyalists,0
50284,4.0,1.0,1460.52,2,1,2,Lost / Low Value,0
50285,2.0,1.0,800.58,4,1,1,Potential Loyalists,0
50286,2.0,1.0,885.0,4,1,1,Potential Loyalists,0
50287,10.0,11.0,17887.43,1,4,4,At-Risk High-Value,0
50288,8.0,1.0,814.55,1,1,1,Lost / Low Value,0
50289,4.0,1.0,798.76,2,1,1,Lost / Low Value,0
50290,4.0,1.0,726.11,2,1,1,Lost / Low Value,1
50291,0.0,1.0,679.3,4,1,1,Potential Loyalists,1
50292,0.0,1.0,643.61,4,1,1,Potential Loyalists,0
50293,12.0,1.0,1542.26,1,1,2,Lost / Low Value,0
50294,2.0,1.0,708.73,4,1,1,Potential Loyalists,0
50295,4.0,1.0,665.34,2,1,1,Lost / Low Value,0
50296,3.0,1.0,1206.42,3,1,2,Potential Loyalists,0
50297,1.0,1.0,690.03,4,1,1,Potential Loyalists,1
50298,0.0,1.0,691.02,4,1,1,Potential Loyalists,1
50299,8.0,7.0,7088.62,1,4,4,At-Risk High-Value,0
50300,0.0,2.0,2652.98,4,2,3,Loyal Customers,0
50301,7.0,15.0,22312.95,2,4,4,At-Risk High-Value,0
50302,7.0,6.0,4146.12,2,4,4,At-Risk High-Value,0
50303,11.0,13.0,14490.19,1,4,4,At-Risk High-Value,0
50304,4.0,1.0,828.85,2,1,1,Lost / Low Value,0
50305,1.0,1.0,1532.36,4,1,2,Potential Loyalists,0
50306,3.0,4.0,3130.6,3,4,4,Champions,0
50307,0.0,1.0,757.9,4,1,1,Potential Loyalists,0
50308,7.0,5.0,3511.2,2,4,4,At-Risk High-Value,0
50309,2.0,1.0,1048.9,4,1,2,Potential Loyalists,0
50310,8.0,1.0,1135.64,1,1,2,Lost / Low Value,0
50311,7.0,2.0,2597.1,2,2,3,Hibernating Big Spenders,1
50312,3.0,1.0,737.44,3,1,1,Potential Loyalists,1
50313,2.0,1.0,714.06,4,1,1,Potential Loyalists,0
50314,0.0,1.0,969.76,4,1,2,Potential Loyalists,0
50315,0.0,1.0,1090.32,4,1,2,Potential Loyalists,1
50316,2.0,1.0,1097.25,4,1,2,Potential Loyalists,1
50317,0.0,2.0,1330.23,4,2,2,Loyal Customers,0
50318,7.0,9.0,9890.1,2,4,4,At-Risk High-Value,0
50319,2.0,1.0,764.17,4,1,1,Potential Loyalists,1
50320,7.0,6.0,4636.83,2,4,4,At-Risk High-Value,0
50321,7.0,7.0,10331.48,2,4,4,At-Risk High-Value,0
50322,10.0,1.0,892.65,1,1,1,Lost / Low Value,0
50323,9.0,6.0,4856.61,1,4,4,At-Risk High-Value,0
50324,13.0,2.0,2556.07,1,2,3,Hibernating Big Spenders,0
50325,7.0,1.0,756.53,2,1,1,Lost / Low Value,0
50326,5.0,1.0,912.01,2,1,1,Lost / Low Value,0
50327,8.0,5.0,4786.65,1,4,4,At-Risk High-Value,0
50328,7.0,3.0,2442.83,2,3,3,At-Risk High-Value,0
50329,0.0,1.0,700.76,4,1,1,Potential Loyalists,1
50330,2.0,1.0,784.41,4,1,1,Potential Loyalists,0
50331,5.0,1.0,1440.12,2,1,2,Lost / Low Value,0
50332,3.0,1.0,1185.64,3,1,2,Potential Loyalists,0
50333,0.0,1.0,653.29,4,1,1,Potential Loyalists,1
50334,3.0,1.0,1151.26,3,1,2,Potential Loyalists,0
50335,7.0,1.0,924.6,2,1,1,Lost / Low Value,0
50336,0.0,1.0,786.83,4,1,1,Potential Loyalists,0
50337,3.0,1.0,817.24,3,1,1,Potential Loyalists,0
50338,7.0,5.0,4217.68,2,4,4,At-Risk High-Value,0
50339,0.0,1.0,678.7,4,1,1,Potential Loyalists,1
50340,2.0,1.0,962.0,4,1,2,Potential Loyalists,0
50341,2.0,1.0,1128.99,4,1,2,Potential Loyalists,0
50342,8.0,11.0,16089.97,1,4,4,At-Risk High-Value,0
50343,7.0,7.0,7251.09,2,4,4,At-Risk High-Value,0
50344,9.0,6.0,5140.41,1,4,4,At-Risk High-Value,0
50345,2.0,1.0,808.88,4,1,1,Potential Loyalists,1
50346,1.0,2.0,1364.0,4,2,2,Loyal Customers,0
50347,0.0,1.0,1090.32,4,1,2,Potential Loyalists,0
50348,3.0,4.0,3618.34,3,4,4,Champions,0
50349,9.0,1.0,1622.61,1,1,2,Lost / Low Value,0
50350,4.0,1.0,699.88,2,1,1,Lost / Low Value,0
50351,4.0,1.0,894.96,2,1,1,Lost / Low Value,0
50352,0.0,1.0,666.98,4,1,1,Potential Loyalists,0
50353,7.0,10.0,15510.0,2,4,4,At-Risk High-Value,0
50354,6.0,1.0,665.28,2,1,1,Lost / Low Value,0
50355,2.0,1.0,708.73,4,1,1,Potential Loyalists,1
50356,0.0,1.0,661.82,4,1,1,Potential Loyalists,1
50357,3.0,1.0,749.21,3,1,1,Potential Loyalists,0
50358,2.0,1.0,782.82,4,1,1,Potential Loyalists,1
50359,2.0,1.0,752.46,4,1,1,Potential Loyalists,0
50360,7.0,5.0,4251.5,2,4,4,At-Risk High-Value,0
50361,3.0,1.0,670.29,3,1,1,Potential Loyalists,0
50362,0.0,1.0,1078.11,4,1,2,Potential Loyalists,0
50363,0.0,1.0,705.98,4,1,1,Potential Loyalists,0
50364,2.0,2.0,1549.79,4,2,2,Loyal Customers,0
50365,0.0,1.0,1464.48,4,1,2,Potential Loyalists,0
50366,0.0,1.0,694.04,4,1,1,Potential Loyalists,0
50367,7.0,4.0,3449.38,2,4,4,At-Risk High-Value,0
50368,2.0,2.0,2794.22,4,2,3,Loyal Customers,0
50369,2.0,1.0,879.18,4,1,1,Potential Loyalists,0
50370,6.0,1.0,691.84,2,1,1,Lost / Low Value,0
50371,2.0,1.0,717.26,4,1,1,Potential Loyalists,1
50372,2.0,1.0,739.58,4,1,1,Potential Loyalists,0
50373,1.0,1.0,1623.22,4,1,2,Potential Loyalists,0
50374,2.0,2.0,1405.03,4,2,2,Loyal Customers,0
50375,2.0,1.0,940.72,4,1,2,Potential Loyalists,0
50376,5.0,1.0,897.71,2,1,1,Lost / Low Value,0
50377,0.0,1.0,664.56,4,1,1,Potential Loyalists,0
50378,10.0,8.0,8087.64,1,4,4,At-Risk High-Value,0
50379,8.0,8.0,5584.04,1,4,4,At-Risk High-Value,0
50380,0.0,1.0,785.73,4,1,1,Potential Loyalists,1
50381,2.0,1.0,696.24,4,1,1,Potential Loyalists,0
50382,8.0,7.0,7482.09,1,4,4,At-Risk High-Value,0
50383,2.0,1.0,855.86,4,1,1,Potential Loyalists,0
50384,8.0,11.0,10070.83,1,4,4,At-Risk High-Value,0
50385,7.0,4.0,3899.5,2,4,4,At-Risk High-Value,0
50386,1.0,7.0,7979.12,4,4,4,Champions,0
50387,2.0,1.0,1036.58,4,1,2,Potential Loyalists,0
50388,1.0,1.0,662.48,4,1,1,Potential Loyalists,0
50389,1.0,1.0,605.5,4,1,1,Potential Loyalists,1
50390,7.0,9.0,6607.26,2,4,4,At-Risk High-Value,1
50391,0.0,1.0,620.46,4,1,1,Potential Loyalists,0
50392,2.0,1.0,705.04,4,1,1,Potential Loyalists,0
50393,2.0,1.0,816.8,4,1,1,Potential Loyalists,0
50394,5.0,1.0,771.54,2,1,1,Lost / Low Value,0
50395,8.0,2.0,1399.2,1,2,2,Lost / Low Value,0
50396,2.0,2.0,1993.2,4,2,3,Loyal Customers,0
50397,4.0,1.0,805.58,2,1,1,Lost / Low Value,0
50398,0.0,1.0,807.4,4,1,1,Potential Loyalists,0
50399,8.0,3.0,2181.46,1,3,3,At-Risk High-Value,0
50400,7.0,7.0,7169.08,2,4,4,At-Risk High-Value,0
50401,0.0,2.0,1603.47,4,2,2,Loyal Customers,1
50402,10.0,11.0,8804.56,1,4,4,At-Risk High-Value,0
50403,8.0,1.0,846.78,1,1,1,Lost / Low Value,0
50404,3.0,1.0,923.78,3,1,1,Potential Loyalists,1
50405,8.0,1.0,969.38,1,1,2,Lost / Low Value,0
50406,7.0,1.0,957.66,2,1,2,Lost / Low Value,0
50407,3.0,7.0,8146.22,3,4,4,Champions,0
50408,7.0,1.0,822.8,2,1,1,Lost / Low Value,0
50409,12.0,1.0,1126.12,1,1,2,Lost / Low Value,0
50410,3.0,2.0,2729.54,3,2,3,Loyal Customers,0
50411,6.0,12.0,19233.06,2,4,4,At-Risk High-Value,0
50412,2.0,2.0,1694.55,4,2,2,Loyal Customers,0
50413,7.0,1.0,1033.62,2,1,2,Lost / Low Value,0
50414,10.0,2.0,3210.79,1,2,4,Hibernating Big Spenders,0
50415,2.0,2.0,1526.25,4,2,2,Loyal Customers,0
50416,7.0,3.0,2015.64,2,3,3,At-Risk High-Value,1
50417,3.0,1.0,1194.21,3,1,2,Potential Loyalists,0
50418,0.0,1.0,982.36,4,1,2,Potential Loyalists,0
50419,4.0,1.0,753.94,2,1,1,Lost / Low Value,0
50420,13.0,2.0,2614.7,1,2,3,Hibernating Big Spenders,0
50421,7.0,7.0,5892.04,2,4,4,At-Risk High-Value,0
50422,0.0,1.0,695.31,4,1,1,Potential Loyalists,0
50423,2.0,2.0,1403.49,4,2,2,Loyal Customers,1
50424,2.0,2.0,1848.44,4,2,3,Loyal Customers,0
50425,3.0,4.0,3551.24,3,4,4,Champions,0
50426,2.0,1.0,687.5,4,1,1,Potential Loyalists,0
50427,6.0,3.0,2704.18,2,3,3,At-Risk High-Value,0
