CustomerID,Tenure,RFM_Segment,Estimated_Spend,SatisfactionScore,Complain,WarehouseToHome,Churn,Churn_Probability,Risk_Level,Prescribed_Intervention
50015,9.0,At-Risk High-Value,4316.18,2,0,15.0,1,0.91,High Risk,"Priority 1: Executive Concierge Call + ₹1,000 Credit"
50016,9.0,Potential Loyalists,664.02,5,1,12.0,1,0.995,High Risk,Priority 2: 25% Comeback Voucher + Free Express Delivery
50017,0.0,Potential Loyalists,710.93,2,1,12.0,1,0.983,High Risk,Priority 2: 25% Comeback Voucher + Free Express Delivery
50018,0.0,Potential Loyalists,865.92,3,1,11.0,1,0.999,High Risk,Priority 2: 25% Comeback Voucher + Free Express Delivery
50019,0.0,Lost / Low Value,884.07,3,1,13.0,1,0.998,High Risk,Priority 2: 25% Comeback Voucher + Free Express Delivery
50020,19.0,Champions,3291.86,4,1,20.0,1,0.974,High Risk,"Priority 1: Executive Concierge Call + ₹1,000 Credit"
50021,0.0,At-Risk High-Value,6226.22,3,1,12.0,1,0.994,High Risk,"Priority 1: Executive Concierge Call + ₹1,000 Credit"
50022,20.0,At-Risk High-Value,16757.4,2,0,29.0,1,0.988,High Risk,"Priority 1: Executive Concierge Call + ₹1,000 Credit"
50023,9.0,Potential Loyalists,642.12,3,1,28.0,1,0.982,High Risk,Priority 2: 25% Comeback Voucher + Free Express Delivery
50024,0.0,Loyal Customers,1601.49,3,1,26.0,1,0.993,High Risk,Priority 2: 25% Comeback Voucher + Free Express Delivery
50025,14.0,Potential Loyalists,1135.75,2,0,14.0,1,0.867,High Risk,Priority 2: 25% Comeback Voucher + Free Express Delivery
50026,0.0,Lost / Low Value,781.0,5,0,15.0,1,0.989,High Risk,Priority 2: 25% Comeback Voucher + Free Express Delivery
50027,8.0,Lost / Low Value,951.22,4,0,6.0,0,0.035,Low Risk,Priority 4: Standard Loyalty Reward Program
50028,9.0,At-Risk High-Value,2707.32,3,1,12.0,0,0.094,Low Risk,Priority 4: Standard Loyalty Reward Program
50029,18.0,Lost / Low Value,679.14,4,0,14.0,0,0.025,Low Risk,Priority 4: Standard Loyalty Reward Program
50030,5.0,At-Risk High-Value,3134.67,2,0,14.0,0,0.072,Low Risk,Priority 4: Standard Loyalty Reward Program
50031,2.0,Lost / Low Value,787.54,3,0,6.0,0,0.03,Low Risk,Priority 4: Standard Loyalty Reward Program
50032,0.0,Potential Loyalists,887.26,3,0,13.0,0,0.517,Medium Risk,Priority 3: Personalized Recommendation + Free Shipping
50033,30.0,Potential Loyalists,734.03,4,1,15.0,0,0.058,Low Risk,Priority 4: Standard Loyalty Reward Program
50034,13.0,Hibernating Big Spenders,2294.05,2,0,10.0,0,0.034,Low Risk,Priority 4: Standard Loyalty Reward Program
50035,9.0,Potential Loyalists,672.7,3,0,8.0,0,0.093,Low Risk,Priority 4: Standard Loyalty Reward Program
50036,0.0,Loyal Customers,1355.53,2,0,14.0,0,0.141,Low Risk,Priority 4: Standard Loyalty Reward Program
50037,9.0,Loyal Customers,1322.64,4,0,15.0,0,0.059,Low Risk,Priority 4: Standard Loyalty Reward Program
50038,1.0,Potential Loyalists,699.21,2,0,27.0,0,0.104,Low Risk,Priority 4: Standard Loyalty Reward Program
50039,30.0,Lost / Low Value,1069.14,2,1,30.0,0,0.008,Low Risk,Priority 4: Standard Loyalty Reward Program
50040,0.0,Potential Loyalists,691.13,3,1,14.0,0,0.563,Medium Risk,Priority 3: Personalized Recommendation + Free Shipping
50041,23.0,At-Risk High-Value,6583.72,4,0,17.0,0,0.0,Low Risk,Priority 4: Standard Loyalty Reward Program
50042,14.0,Lost / Low Value,684.8,3,0,14.0,0,0.132,Low Risk,Priority 4: Standard Loyalty Reward Program
50043,3.0,At-Risk High-Value,7476.32,2,0,11.0,0,0.111,Low Risk,Priority 4: Standard Loyalty Reward Program
50044,11.0,Potential Loyalists,1027.73,2,0,6.0,0,0.036,Low Risk,Priority 4: Standard Loyalty Reward Program
50045,5.0,Lost / Low Value,717.09,3,0,12.0,0,0.049,Low Risk,Priority 4: Standard Loyalty Reward Program
50046,0.0,Potential Loyalists,718.19,4,1,23.0,0,0.517,Medium Risk,Priority 3: Personalized Recommendation + Free Shipping
50047,0.0,Potential Loyalists,677.88,5,0,14.0,1,0.99,High Risk,Priority 2: 25% Comeback Voucher + Free Express Delivery
50048,9.0,Champions,4653.88,4,0,9.0,0,0.049,Low Risk,Priority 4: Standard Loyalty Reward Program
50049,3.0,At-Risk High-Value,4313.76,5,0,15.0,0,0.039,Low Risk,Priority 4: Standard Loyalty Reward Program
50050,18.0,Potential Loyalists,825.33,5,1,10.0,0,0.025,Low Risk,Priority 4: Standard Loyalty Reward Program
50051,29.0,Loyal Customers,1568.27,5,1,14.0,0,0.1,Low Risk,Priority 4: Standard Loyalty Reward Program
50052,6.0,Potential Loyalists,687.5,2,0,14.0,0,0.061,Low Risk,Priority 4: Standard Loyalty Reward Program
50053,0.0,Potential Loyalists,610.61,2,0,8.0,1,0.97,High Risk,Priority 2: 25% Comeback Voucher + Free Express Delivery
50054,19.0,At-Risk High-Value,16873.72,5,0,6.0,0,0.038,Low Risk,Priority 4: Standard Loyalty Reward Program
50055,9.0,Loyal Customers,1351.68,2,0,15.0,0,0.098,Low Risk,Priority 4: Standard Loyalty Reward Program
50056,4.0,Potential Loyalists,766.09,2,1,18.0,0,0.224,Low Risk,Priority 4: Standard Loyalty Reward Program
50057,9.0,Potential Loyalists,677.1,4,0,33.0,0,0.041,Low Risk,Priority 4: Standard Loyalty Reward Program
50058,4.0,Potential Loyalists,722.7,4,1,26.0,1,0.619,High Risk,Priority 2: 25% Comeback Voucher + Free Express Delivery
50059,23.0,Potential Loyalists,752.95,3,0,6.0,0,0.027,Low Risk,Priority 4: Standard Loyalty Reward Program
50060,26.0,Potential Loyalists,794.75,5,0,19.0,0,0.016,Low Risk,Priority 4: Standard Loyalty Reward Program
50061,6.0,Lost / Low Value,701.58,4,0,20.0,0,0.041,Low Risk,Priority 4: Standard Loyalty Reward Program
50062,13.0,At-Risk High-Value,14371.34,3,0,10.0,0,0.03,Low Risk,Priority 4: Standard Loyalty Reward Program
50063,28.0,Hibernating Big Spenders,3159.42,4,0,20.0,0,0.003,Low Risk,Priority 4: Standard Loyalty Reward Program
50064,7.0,Lost / Low Value,1075.08,3,0,8.0,0,0.046,Low Risk,Priority 4: Standard Loyalty Reward Program
50065,24.0,Loyal Customers,2610.74,4,0,9.0,0,0.005,Low Risk,Priority 4: Standard Loyalty Reward Program
50066,25.0,At-Risk High-Value,18149.4,3,0,6.0,0,0.025,Low Risk,Priority 4: Standard Loyalty Reward Program
50067,9.0,Potential Loyalists,675.34,4,0,15.0,0,0.036,Low Risk,Priority 4: Standard Loyalty Reward Program
50068,0.0,Potential Loyalists,875.38,3,1,29.0,1,0.998,High Risk,Priority 2: 25% Comeback Voucher + Free Express Delivery
50069,9.0,Loyal Customers,1329.79,2,0,13.0,0,0.035,Low Risk,Priority 4: Standard Loyalty Reward Program
50070,18.0,At-Risk High-Value,16209.16,2,0,8.0,0,0.031,Low Risk,Priority 4: Standard Loyalty Reward Program
50071,10.0,Lost / Low Value,746.02,5,1,27.0,0,0.147,Low Risk,Priority 4: Standard Loyalty Reward Program
50072,8.0,Potential Loyalists,793.38,4,0,8.0,0,0.024,Low Risk,Priority 4: Standard Loyalty Reward Program
50073,15.0,Potential Loyalists,839.58,3,0,27.0,0,0.012,Low Risk,Priority 4: Standard Loyalty Reward Program
50074,11.0,Potential Loyalists,910.42,3,0,8.0,0,0.065,Low Risk,Priority 4: Standard Loyalty Reward Program
50075,11.0,Lost / Low Value,894.36,2,0,35.0,0,0.021,Low Risk,Priority 4: Standard Loyalty Reward Program
50076,0.0,Loyal Customers,1572.78,5,0,6.0,0,0.264,Low Risk,Priority 4: Standard Loyalty Reward Program
50077,22.0,Lost / Low Value,924.22,2,1,24.0,0,0.012,Low Risk,Priority 4: Standard Loyalty Reward Program
50078,7.0,Loyal Customers,1519.65,3,1,16.0,0,0.522,Medium Risk,Priority 3: Personalized Recommendation + Free Shipping
50079,13.0,At-Risk High-Value,2102.26,2,1,25.0,0,0.045,Low Risk,Priority 4: Standard Loyalty Reward Program
50080,1.0,Potential Loyalists,917.02,5,1,35.0,1,0.593,Medium Risk,Priority 3: Personalized Recommendation + Free Shipping
50081,0.0,Lost / Low Value,970.14,2,0,33.0,1,0.98,High Risk,Priority 2: 25% Comeback Voucher + Free Express Delivery
50082,0.0,Loyal Customers,1356.08,4,1,14.0,0,0.308,Medium Risk,Priority 3: Personalized Recommendation + Free Shipping
50083,9.0,Lost / Low Value,668.42,2,0,24.0,0,0.029,Low Risk,Priority 4: Standard Loyalty Reward Program
50084,13.0,Potential Loyalists,818.18,2,0,15.0,0,0.022,Low Risk,Priority 4: Standard Loyalty Reward Program
50085,19.0,Potential Loyalists,1066.78,5,0,6.0,0,0.044,Low Risk,Priority 4: Standard Loyalty Reward Program
50086,0.0,At-Risk High-Value,10098.0,2,0,10.0,1,0.997,High Risk,"Priority 1: Executive Concierge Call + ₹1,000 Credit"
50087,3.0,At-Risk High-Value,5080.35,3,0,6.0,0,0.045,Low Risk,Priority 4: Standard Loyalty Reward Program
50088,0.0,Lost / Low Value,1098.96,3,0,26.0,0,0.164,Low Risk,Priority 4: Standard Loyalty Reward Program
50089,24.0,Champions,4947.8,4,0,14.0,0,0.05,Low Risk,Priority 4: Standard Loyalty Reward Program
50090,0.0,Lost / Low Value,696.14,5,1,14.0,1,0.996,High Risk,Priority 2: 25% Comeback Voucher + Free Express Delivery
50091,14.0,Loyal Customers,2595.01,2,1,12.0,0,0.086,Low Risk,Priority 4: Standard Loyalty Reward Program
50092,0.0,Potential Loyalists,918.28,5,0,32.0,1,0.998,High Risk,Priority 2: 25% Comeback Voucher + Free Express Delivery
50093,9.0,Lost / Low Value,663.19,3,0,6.0,1,0.907,High Risk,Priority 2: 25% Comeback Voucher + Free Express Delivery
50094,18.0,At-Risk High-Value,12450.9,2,0,12.0,0,0.049,Low Risk,Priority 4: Standard Loyalty Reward Program
50095,27.0,Lost / Low Value,876.7,5,0,9.0,0,0.024,Low Risk,Priority 4: Standard Loyalty Reward Program
50096,9.0,At-Risk High-Value,2625.81,4,0,11.0,0,0.017,Low Risk,Priority 4: Standard Loyalty Reward Program
50097,6.0,Potential Loyalists,694.21,4,0,14.0,0,0.105,Low Risk,Priority 4: Standard Loyalty Reward Program
50098,10.0,Potential Loyalists,1220.18,2,1,17.0,0,0.065,Low Risk,Priority 4: Standard Loyalty Reward Program
50099,11.0,At-Risk High-Value,5667.48,3,0,9.0,0,0.023,Low Risk,Priority 4: Standard Loyalty Reward Program
50100,4.0,Lost / Low Value,788.97,3,0,6.0,0,0.03,Low Risk,Priority 4: Standard Loyalty Reward Program
50101,9.0,Potential Loyalists,669.74,2,0,9.0,0,0.202,Low Risk,Priority 4: Standard Loyalty Reward Program
50102,10.0,At-Risk High-Value,0.0,2,0,10.0,0,0.07,Low Risk,Priority 4: Standard Loyalty Reward Program
50103,2.0,Champions,3941.96,2,0,6.0,0,0.1,Low Risk,Priority 4: Standard Loyalty Reward Program
50104,8.0,Lost / Low Value,1033.4,3,0,6.0,0,0.016,Low Risk,Priority 4: Standard Loyalty Reward Program
50105,0.0,Potential Loyalists,681.4,2,1,14.0,1,0.996,High Risk,Priority 2: 25% Comeback Voucher + Free Express Delivery
50106,25.0,Loyal Customers,1453.32,2,0,8.0,0,0.064,Low Risk,Priority 4: Standard Loyalty Reward Program
50107,15.0,At-Risk High-Value,17685.36,2,0,10.0,0,0.044,Low Risk,Priority 4: Standard Loyalty Reward Program
50108,9.0,Loyal Customers,1349.37,3,0,12.0,0,0.061,Low Risk,Priority 4: Standard Loyalty Reward Program
50109,23.0,Lost / Low Value,1623.44,2,0,6.0,0,0.022,Low Risk,Priority 4: Standard Loyalty Reward Program
50110,0.0,Lost / Low Value,683.98,2,1,14.0,1,0.987,High Risk,Priority 2: 25% Comeback Voucher + Free Express Delivery
50111,16.0,Hibernating Big Spenders,2867.04,2,1,22.0,0,0.077,Low Risk,Priority 4: Standard Loyalty Reward Program
50112,0.0,Lost / Low Value,698.88,5,0,8.0,1,0.581,Medium Risk,Priority 3: Personalized Recommendation + Free Shipping
50113,25.0,At-Risk High-Value,23981.1,3,1,8.0,0,0.1,Low Risk,Priority 4: Standard Loyalty Reward Program
50114,5.0,Potential Loyalists,766.2,4,0,10.0,0,0.065,Low Risk,Priority 4: Standard Loyalty Reward Program
50115,0.0,Potential Loyalists,755.15,3,1,6.0,1,0.955,High Risk,Priority 2: 25% Comeback Voucher + Free Express Delivery
50116,9.0,Potential Loyalists,672.76,3,0,6.0,0,0.025,Low Risk,Priority 4: Standard Loyalty Reward Program
50117,5.0,Loyal Customers,1591.15,2,0,32.0,0,0.032,Low Risk,Priority 4: Standard Loyalty Reward Program
50118,14.0,Potential Loyalists,718.96,5,0,25.0,0,0.113,Low Risk,Priority 4: Standard Loyalty Reward Program
50119,13.0,At-Risk High-Value,2930.18,2,0,30.0,0,0.008,Low Risk,Priority 4: Standard Loyalty Reward Program
50120,18.0,Lost / Low Value,1606.11,2,0,6.0,0,0.075,Low Risk,Priority 4: Standard Loyalty Reward Program
50121,4.0,Loyal Customers,2604.25,3,0,9.0,0,0.065,Low Risk,Priority 4: Standard Loyalty Reward Program
50122,6.0,Potential Loyalists,710.1,2,0,11.0,0,0.036,Low Risk,Priority 4: Standard Loyalty Reward Program
50123,7.0,At-Risk High-Value,4388.18,5,0,8.0,0,0.026,Low Risk,Priority 4: Standard Loyalty Reward Program
50124,10.0,Potential Loyalists,765.6,5,0,6.0,0,0.012,Low Risk,Priority 4: Standard Loyalty Reward Program
50125,18.0,Potential Loyalists,903.87,3,0,13.0,0,0.02,Low Risk,Priority 4: Standard Loyalty Reward Program
50126,0.0,Potential Loyalists,1102.64,3,0,16.0,1,0.994,High Risk,Priority 2: 25% Comeback Voucher + Free Express Delivery
50127,12.0,Champions,12667.49,3,0,8.0,0,0.05,Low Risk,Priority 4: Standard Loyalty Reward Program
50128,2.0,Lost / Low Value,678.7,2,0,14.0,0,0.08,Low Risk,Priority 4: Standard Loyalty Reward Program
50129,15.0,Potential Loyalists,909.97,5,1,23.0,0,0.044,Low Risk,Priority 4: Standard Loyalty Reward Program
50130,2.0,Potential Loyalists,931.2,2,0,26.0,0,0.035,Low Risk,Priority 4: Standard Loyalty Reward Program
50131,0.0,Potential Loyalists,819.39,3,0,6.0,0,0.1,Low Risk,Priority 4: Standard Loyalty Reward Program
50132,15.0,At-Risk High-Value,4848.3,5,1,14.0,0,0.144,Low Risk,Priority 4: Standard Loyalty Reward Program
50133,13.0,At-Risk High-Value,4856.94,3,0,8.0,0,0.021,Low Risk,Priority 4: Standard Loyalty Reward Program
50134,24.0,Potential Loyalists,699.76,2,0,6.0,0,0.042,Low Risk,Priority 4: Standard Loyalty Reward Program
50135,0.0,Lost / Low Value,741.34,4,0,35.0,1,0.979,High Risk,Priority 2: 25% Comeback Voucher + Free Express Delivery
50136,5.0,Potential Loyalists,703.67,4,0,13.0,0,0.019,Low Risk,Priority 4: Standard Loyalty Reward Program
50137,11.0,At-Risk High-Value,5870.87,2,0,8.0,0,0.094,Low Risk,Priority 4: Standard Loyalty Reward Program
50138,9.0,Lost / Low Value,669.68,5,0,8.0,0,0.031,Low Risk,Priority 4: Standard Loyalty Reward Program
50139,19.0,At-Risk High-Value,10345.72,4,1,8.0,0,0.076,Low Risk,Priority 4: Standard Loyalty Reward Program
50140,0.0,Potential Loyalists,741.68,3,0,8.0,1,0.893,High Risk,Priority 2: 25% Comeback Voucher + Free Express Delivery
50141,2.0,Potential Loyalists,915.42,4,0,8.0,0,0.075,Low Risk,Priority 4: Standard Loyalty Reward Program
50142,4.0,At-Risk High-Value,5999.07,2,0,29.0,0,0.058,Low Risk,Priority 4: Standard Loyalty Reward Program
50143,0.0,Lost / Low Value,770.0,5,0,11.0,0,0.078,Low Risk,Priority 4: Standard Loyalty Reward Program
50144,18.0,Hibernating Big Spenders,2584.56,2,1,26.0,0,0.018,Low Risk,Priority 4: Standard Loyalty Reward Program
50145,9.0,At-Risk High-Value,7265.5,2,0,12.0,0,0.011,Low Risk,Priority 4: Standard Loyalty Reward Program
50146,28.0,At-Risk High-Value,6389.9,5,1,6.0,0,0.037,Low Risk,Priority 4: Standard Loyalty Reward Program
50147,10.0,Champions,10815.26,4,1,35.0,1,0.967,High Risk,"Priority 1: Executive Concierge Call + ₹1,000 Credit"
50148,9.0,Lost / Low Value,663.85,2,0,15.0,0,0.03,Low Risk,Priority 4: Standard Loyalty Reward Program
50149,10.0,Potential Loyalists,907.61,2,0,12.0,0,0.119,Low Risk,Priority 4: Standard Loyalty Reward Program
50150,0.0,Potential Loyalists,727.65,3,0,9.0,0,0.327,Medium Risk,Priority 3: Personalized Recommendation + Free Shipping
50151,10.0,Loyal Customers,2596.33,2,1,6.0,0,0.044,Low Risk,Priority 4: Standard Loyalty Reward Program
50152,2.0,Champions,7258.68,4,0,28.0,0,0.115,Low Risk,Priority 4: Standard Loyalty Reward Program
50153,11.0,At-Risk High-Value,6007.93,5,1,13.0,0,0.021,Low Risk,Priority 4: Standard Loyalty Reward Program
50154,0.0,Lost / Low Value,901.84,4,0,6.0,0,0.076,Low Risk,Priority 4: Standard Loyalty Reward Program
50155,23.0,Lost / Low Value,1602.92,4,0,10.0,0,0.009,Low Risk,Priority 4: Standard Loyalty Reward Program
50156,26.0,Potential Loyalists,1517.12,3,1,9.0,0,0.013,Low Risk,Priority 4: Standard Loyalty Reward Program
50157,15.0,At-Risk High-Value,9018.74,3,0,6.0,0,0.062,Low Risk,Priority 4: Standard Loyalty Reward Program
50158,2.0,Lost / Low Value,800.47,2,0,8.0,0,0.026,Low Risk,Priority 4: Standard Loyalty Reward Program
50159,28.0,Lost / Low Value,847.82,2,1,26.0,0,0.035,Low Risk,Priority 4: Standard Loyalty Reward Program
50160,0.0,Champions,2432.26,5,1,17.0,0,0.282,Low Risk,Priority 4: Standard Loyalty Reward Program
50161,9.0,At-Risk High-Value,3331.62,2,0,6.0,0,0.058,Low Risk,Priority 4: Standard Loyalty Reward Program
50162,7.0,Potential Loyalists,723.86,3,1,30.0,1,0.959,High Risk,Priority 2: 25% Comeback Voucher + Free Express Delivery
50163,11.0,Potential Loyalists,865.97,2,0,29.0,0,0.025,Low Risk,Priority 4: Standard Loyalty Reward Program
50164,0.0,Potential Loyalists,680.52,4,1,14.0,1,0.985,High Risk,Priority 2: 25% Comeback Voucher + Free Express Delivery
50165,1.0,Potential Loyalists,732.05,2,0,14.0,0,0.115,Low Risk,Priority 4: Standard Loyalty Reward Program
50166,22.0,Potential Loyalists,1576.57,5,1,16.0,0,0.075,Low Risk,Priority 4: Standard Loyalty Reward Program
50167,9.0,At-Risk High-Value,5576.72,4,0,9.0,0,0.065,Low Risk,Priority 4: Standard Loyalty Reward Program
50168,4.0,Loyal Customers,1406.79,4,0,11.0,0,0.031,Low Risk,Priority 4: Standard Loyalty Reward Program
50169,0.0,At-Risk High-Value,6093.78,2,1,10.0,1,0.995,High Risk,"Priority 1: Executive Concierge Call + ₹1,000 Credit"
50170,10.0,Potential Loyalists,677.93,2,1,14.0,0,0.161,Low Risk,Priority 4: Standard Loyalty Reward Program
50171,15.0,Hibernating Big Spenders,2587.75,4,0,32.0,0,0.041,Low Risk,Priority 4: Standard Loyalty Reward Program
50172,9.0,Potential Loyalists,628.1,3,0,9.0,1,0.974,High Risk,Priority 2: 25% Comeback Voucher + Free Express Delivery
50173,8.0,At-Risk High-Value,5946.6,4,0,22.0,0,0.073,Low Risk,Priority 4: Standard Loyalty Reward Program
50174,9.0,Potential Loyalists,752.84,2,0,24.0,0,0.148,Low Risk,Priority 4: Standard Loyalty Reward Program
50175,24.0,Potential Loyalists,851.51,4,0,8.0,0,0.009,Low Risk,Priority 4: Standard Loyalty Reward Program
50176,14.0,Hibernating Big Spenders,2861.65,4,0,8.0,0,0.028,Low Risk,Priority 4: Standard Loyalty Reward Program
50177,0.0,Potential Loyalists,616.0,3,0,16.0,0,0.323,Medium Risk,Priority 3: Personalized Recommendation + Free Shipping
50178,1.0,Lost / Low Value,861.36,5,0,22.0,0,0.141,Low Risk,Priority 4: Standard Loyalty Reward Program
50179,4.0,At-Risk High-Value,6517.66,2,0,13.0,0,0.137,Low Risk,Priority 4: Standard Loyalty Reward Program
50180,12.0,At-Risk High-Value,3236.14,2,0,6.0,0,0.072,Low Risk,Priority 4: Standard Loyalty Reward Program
50181,9.0,Lost / Low Value,862.07,4,0,30.0,0,0.021,Low Risk,Priority 4: Standard Loyalty Reward Program
50182,5.0,At-Risk High-Value,3406.48,3,0,13.0,0,0.011,Low Risk,Priority 4: Standard Loyalty Reward Program
50183,11.0,Potential Loyalists,1213.36,4,0,31.0,0,0.035,Low Risk,Priority 4: Standard Loyalty Reward Program
50184,30.0,Potential Loyalists,861.3,3,1,6.0,0,0.018,Low Risk,Priority 4: Standard Loyalty Reward Program
50185,4.0,Potential Loyalists,815.16,2,1,11.0,0,0.14,Low Risk,Priority 4: Standard Loyalty Reward Program
50186,4.0,Potential Loyalists,902.55,5,0,8.0,0,0.119,Low Risk,Priority 4: Standard Loyalty Reward Program
50187,18.0,At-Risk High-Value,7528.95,5,0,13.0,0,0.024,Low Risk,Priority 4: Standard Loyalty Reward Program
50188,4.0,Loyal Customers,1396.45,2,1,8.0,0,0.106,Low Risk,Priority 4: Standard Loyalty Reward Program
50189,6.0,Champions,9626.32,4,0,11.0,0,0.07,Low Risk,Priority 4: Standard Loyalty Reward Program
50190,12.0,At-Risk High-Value,16376.14,5,1,16.0,0,0.059,Low Risk,Priority 4: Standard Loyalty Reward Program
50191,16.0,Lost / Low Value,685.02,2,0,14.0,0,0.033,Low Risk,Priority 4: Standard Loyalty Reward Program
50192,22.0,Hibernating Big Spenders,2636.04,3,1,6.0,0,0.055,Low Risk,Priority 4: Standard Loyalty Reward Program
50193,15.0,At-Risk High-Value,5752.28,4,0,14.0,1,0.698,High Risk,"Priority 1: Executive Concierge Call + ₹1,000 Credit"
50194,0.0,Potential Loyalists,686.29,4,1,14.0,0,0.371,Medium Risk,Priority 3: Personalized Recommendation + Free Shipping
50195,5.0,At-Risk High-Value,9212.94,4,1,14.0,0,0.068,Low Risk,Priority 4: Standard Loyalty Reward Program
50196,0.0,Lost / Low Value,796.29,3,1,8.0,0,0.279,Low Risk,Priority 4: Standard Loyalty Reward Program
50197,4.0,Lost / Low Value,965.08,2,0,13.0,0,0.028,Low Risk,Priority 4: Standard Loyalty Reward Program
50198,5.0,Lost / Low Value,828.03,2,0,8.0,0,0.002,Low Risk,Priority 4: Standard Loyalty Reward Program
50199,0.0,Loyal Customers,1481.04,2,1,8.0,1,0.91,High Risk,Priority 2: 25% Comeback Voucher + Free Express Delivery
50200,3.0,Lost / Low Value,867.62,2,0,34.0,0,0.03,Low Risk,Priority 4: Standard Loyalty Reward Program
50201,4.0,At-Risk High-Value,8334.92,3,0,13.0,0,0.029,Low Risk,Priority 4: Standard Loyalty Reward Program
50202,12.0,Champions,20929.48,2,0,5.0,0,0.075,Low Risk,Priority 4: Standard Loyalty Reward Program
50203,2.0,Potential Loyalists,838.09,3,1,9.0,1,0.947,High Risk,Priority 2: 25% Comeback Voucher + Free Express Delivery
50204,6.0,Potential Loyalists,807.51,2,0,16.0,0,0.07,Low Risk,Priority 4: Standard Loyalty Reward Program
50205,20.0,Potential Loyalists,1556.5,3,0,11.0,0,0.011,Low Risk,Priority 4: Standard Loyalty Reward Program
50206,16.0,Potential Loyalists,839.14,3,0,16.0,0,0.036,Low Risk,Priority 4: Standard Loyalty Reward Program
50207,0.0,Lost / Low Value,899.2,4,1,6.0,0,0.185,Low Risk,Priority 4: Standard Loyalty Reward Program
50208,27.0,Potential Loyalists,817.8,3,0,26.0,0,0.02,Low Risk,Priority 4: Standard Loyalty Reward Program
50209,16.0,Potential Loyalists,1099.18,5,0,13.0,0,0.026,Low Risk,Priority 4: Standard Loyalty Reward Program
50210,18.0,At-Risk High-Value,6780.02,2,0,14.0,0,0.072,Low Risk,Priority 4: Standard Loyalty Reward Program
50211,13.0,Potential Loyalists,960.14,2,1,6.0,0,0.057,Low Risk,Priority 4: Standard Loyalty Reward Program
50212,9.0,Lost / Low Value,666.54,5,1,14.0,1,0.973,High Risk,Priority 2: 25% Comeback Voucher + Free Express Delivery
50213,2.0,Loyal Customers,1538.13,2,0,15.0,0,0.079,Low Risk,Priority 4: Standard Loyalty Reward Program
50214,3.0,Potential Loyalists,886.49,3,0,11.0,0,0.023,Low Risk,Priority 4: Standard Loyalty Reward Program
50215,0.0,Lost / Low Value,891.77,4,0,14.0,0,0.114,Low Risk,Priority 4: Standard Loyalty Reward Program
50216,10.0,Lost / Low Value,899.08,2,0,11.0,0,0.026,Low Risk,Priority 4: Standard Loyalty Reward Program
50217,11.0,Loyal Customers,2366.1,2,1,21.0,0,0.018,Low Risk,Priority 4: Standard Loyalty Reward Program
50218,4.0,At-Risk High-Value,3771.46,2,1,13.0,0,0.063,Low Risk,Priority 4: Standard Loyalty Reward Program
50219,2.0,Lost / Low Value,1004.74,4,1,16.0,0,0.016,Low Risk,Priority 4: Standard Loyalty Reward Program
50220,8.0,Lost / Low Value,995.22,4,0,11.0,0,0.032,Low Risk,Priority 4: Standard Loyalty Reward Program
50221,0.0,Potential Loyalists,709.72,2,0,32.0,0,0.071,Low Risk,Priority 4: Standard Loyalty Reward Program
50222,14.0,Potential Loyalists,881.76,4,1,12.0,0,0.039,Low Risk,Priority 4: Standard Loyalty Reward Program
50223,20.0,Potential Loyalists,713.68,3,0,10.0,0,0.062,Low Risk,Priority 4: Standard Loyalty Reward Program
